==================================================
RAPORT KOŃCOWY
==================================================
                                                      name            result  min_distance  brake_reaction_time  stopped
116                 Oncoming Traffic (Offset 3.5m, 60km/h)    PASS (Timeout)      3.547141             0.545086    False
117                 Oncoming Traffic (Offset 1.5m, 30km/h)    PASS (Stopped)      2.387054             0.536343     True
118                 Oncoming Traffic (Offset 1.0m, 60km/h)  FAIL (Collision)      4.538223             0.399955     True
119                 Oncoming Traffic (Offset 0.0m, 50km/h)    PASS (Stopped)      7.877381             0.370852     True
120                  Cut-In (StartDist 15.0m, Offset 3.5m)    PASS (Stopped)     14.401032             0.621354     True
121                   Cut-In (StartDist 8.0m, Offset 3.5m)    PASS (Stopped)      8.528738             0.614450     True
122                   Cut-In (StartDist 5.0m, Offset 3.5m)    PASS (Timeout)      6.258514             0.607635    False
123                   Cut-In (StartDist 5.0m, Offset 3.5m)    PASS (Stopped)      5.788001             0.596489     True
124                  Cut-In (StartDist 10.0m, Offset 3.5m)    PASS (Stopped)      7.791162             0.607011     True
125               Obstacle on Curve (Dist 40.0m, 30.0km/h)    PASS (Stopped)      7.615530             0.627341     True
126               Obstacle on Curve (Dist 60.0m, 50.0km/h)  FAIL (Collision)      4.148587             1.837586     True
127               Obstacle on Curve (Dist 25.0m, 30.0km/h)  FAIL (Collision)      4.163679             0.633196     True
128               Obstacle on Curve (Dist 60.0m, 30.0km/h)    PASS (Stopped)      6.019636             0.697025     True
